cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
12765738000129,2010-12-14,2020-05-07,2361,171.9082630659203,136.2349205905508
12799216000148,2010-12-20,2013-10-09,708,-73.5116759781828,28.53866240752425
12960125000142,2011-01-05,2014-12-19,999,20.658018858258597,44.239626845738215
12982337000120,2011-03-11,2015-01-23,976,-30.375892630846458,42.985881978892216
13049682000179,2012-05-18,2020-05-07,2001,152.25868619684942,103.22160384320452
13049684000168,2015-02-10,2018-02-27,762,19.641477115881713,41.617874728550674
13058869000139,2011-12-01,2020-05-07,2118,33.4291224954711,112.40757431408208
13094689000102,2012-06-21,2013-02-27,172,-65.07477780406904,4.926956731950649
13083185000197,2011-06-07,2020-05-07,2240,122.61887305027206,124.33993635036349
13083223000101,2012-04-05,2013-04-29,259,1.8764228239128933,7.977557761388532
13554443000176,2011-11-16,2015-07-31,935,-77.78667112782482,40.95959715246107
13667539000140,2011-12-09,2017-03-16,1326,82.64731183535483,72.83445476556565
13667679000119,2012-05-18,2013-08-27,321,8.879314826367235,9.623091505081472
13703273000144,2014-01-31,2020-05-06,1568,97.05767192311268,78.2503973109525
13911092000103,2012-05-25,2020-05-07,1996,89.52830588705982,102.88314361040398
13962765000154,2012-04-16,2020-05-07,2024,31.914606073809892,104.79425994785277
14097777000120,2011-10-31,2014-10-15,746,-46.97282607608059,29.133872895962366
14097800000187,2011-10-31,2020-05-06,2138,-23.936204274393656,114.29257200726224
14099138000102,2013-11-08,2016-10-18,739,37.68386910998953,41.125707027760726
14326187000122,2012-05-14,2020-05-07,2005,67.96566617658549,103.491026632015
14400475000180,2012-02-10,2013-12-18,467,-15.256988007948792,15.410811712270034
14424361000170,2012-03-22,2020-05-07,2039,145.3748805157719,105.97758613689288
14437652000100,2012-04-02,2017-10-10,1390,10.76173029233598,77.01086989852462
14491257000106,2011-11-29,2016-02-11,1026,-99.74967560210953,50.48745372474863
14544412000105,2012-02-02,2020-05-07,2073,96.00741930969212,108.57483452827519
13049657000195,2015-10-05,2020-05-07,1150,37.199872345660864,47.86525908006634
13058709000190,2011-08-11,2020-05-07,2194,118.36353441063672,119.67183902500844
